"PLAYER","injuries","missed_games","travel_games","total_travel","played_games_48h","played_games_72h","played_games_7d","games_count","games_played","player_position","total_min","avg_perc_min","height","weight","salary","salary_claimed","age_season","wins","win_pct","ave_win_pct","matches_played_att","avg_attendance","missed_games_injury_att","avg_attendance_missed","n_returns","geo_att_return","wins_without","SGV_missed","player_win_factor","player_attendance_factor","win_pct_with","win_pct_without","attend_with","attend_without","games_with","games_without"
"A.J. Lawson",0,0,48,6566.0766452,0.226666666666667,0.346666666666667,0.64,75,15,"SG",108.26666666,0.150370370361111,78,179,371432.000025,0,22.4955509924709,5,0.333333333333333,0.105236968770532,15,18890.7333333333,60,18118.7666666667,14,0.0142261080194315,29,851571164.343,1.45,0.959135166801359,0.333333333333333,0.483333333333333,18890.7333333333,18118.7666666667,15,60
"AJ Green",3,2,59,15675.6611757968,0.48780487804878,0.75609756097561,1.52439024390244,82,35,"SG",344.95,0.205327380952381,76,200,508891,12411.9756097561,23.2950034223135,27,0.771428571428571,0.301798814880867,35,17798.5142857143,47,17999.4893617021,34,0.00111395879675569,31,854800016.726,0.855003940110323,1.01129167708954,0.771428571428571,0.659574468085106,17798.5142857143,17999.4893617021,35,47
"AJ Griffin",0,0,56,34870.3725739453,1.02439024390244,1.57317073170732,3.0609756097561,82,72,"SF",1401.45,0.405512152777778,78,222,3536160,0,19.3853524982888,34,0.472222222222222,0.465534423502158,72,17788.8888888889,10,17916.4,71,0.00136886936220626,7,99306996.407,1.48235294117647,1.00716801998751,0.472222222222222,0.7,17788.8888888889,17916.4,72,10
"Aaron Gordon",4,11,60,40377.0360791038,0.951219512195122,1.48780487804878,2.98780487804878,82,68,"PF",2055.11666666667,0.629631331699346,80,235,19690909,2641463.40243903,27.3251197809719,45,0.661764705882353,0.538259653572248,68,18339.5,14,18878.3571428571,67,0,8,219492918.899,0.863492063492063,1.02938232464664,0.661764705882353,0.571428571428571,18339.5,18878.3571428571,68,14
"Aaron Holiday",0,0,56,29584.3704746566,0.890243902439024,1.36585365853659,2.6219512195122,82,63,"PG",845.283333333333,0.279524911816579,72,185,1968175,0,26.2847364818617,32,0.507936507936508,0.426656326708649,63,17901.1111111111,19,17483.8947368421,62,0.00111425057149472,9,198751404.21,0.932565789473684,0.976693269390969,0.507936507936508,0.473684210526316,17901.1111111111,17483.8947368421,63,19
"Aaron Nesmith",10,7,54,29682.8626843949,1.03658536585366,1.6219512195122,3.15853658536585,82,73,"SF",1816.43333333333,0.518388508371385,77,215,3804360,324762.439024391,23.242984257358,30,0.410958904109589,0.415398905384188,73,16776.0410958904,9,16760.8888888889,72,0.00384681384128793,5,78362943.189,1.35185185185185,0.999096794832886,0.410958904109589,0.555555555555556,16776.0410958904,16760.8888888889,73,9
"Aaron Wiggins",0,0,57,37003.9439299499,0.975609756097561,1.51219512195122,2.95121951219512,82,70,"SG",1297.45,0.386145833333333,78,200,1563518,0,24.0287474332649,37,0.528571428571429,0.378661540718328,70,16754.3857142857,12,16765.5833333333,69,-0.00268362418451573,3,93313840.3,0.472972972972973,1.00066833957619,0.528571428571429,0.25,16754.3857142857,16765.5833333333,70,12
"Admiral Schofield",2,11,53,17270.2032727241,0.5,0.829268292682927,1.5609756097561,82,37,"PF",451.266666666667,0.254091591591592,77,241,877940.000000003,117772.439024391,25.7891854893908,14,0.378378378378378,0.144480800204707,37,17733.7837837838,45,17617.6888888889,36,0.00150439404891434,20,397197585.548,1.17460317460317,0.993453461691517,0.378378378378378,0.444444444444444,17733.7837837838,17617.6888888889,37,45
"Al Horford",2,15,55,33460.3971605025,0.902439024390244,1.39024390243902,2.74390243902439,82,63,"C",1921.4,0.635383597883598,81,240,26500000,4847560.97560976,36.611909650924,44,0.698412698412698,0.556276662700146,63,19007.4603174603,19,18946.9473684211,62,0,13,427139330.21,0.979665071770335,0.996816357996882,0.698412698412698,0.684210526315789,19007.4603174603,18946.9473684211,63,19
"Alec Burks",2,30,57,24638.4452233254,0.728395061728395,1.11111111111111,2.16049382716049,81,50,"SG",1101.73333333333,0.459055555555556,78,214,10012800,3708444.44444445,31.4839151266256,12,0.24,0.150822797975232,50,18214.24,31,18246.0322580645,49,-0.00313226254337362,5,253933372.504,0.672043010752688,1.00174546168627,0.24,0.161290322580645,18214.24,18246.0322580645,50,31
